drug_a,drug_b,severity,description
Aspirin,Rivaroxaban,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Aspirin,Heparin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Celecoxib,Warfarin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Celecoxib,Clopidogrel,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Apixaban,Celecoxib,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Celecoxib,Rivaroxaban,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Celecoxib,Heparin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Diclofenac,Warfarin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Clopidogrel,Diclofenac,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Apixaban,Diclofenac,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Diclofenac,Rivaroxaban,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Diclofenac,Heparin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Ibuprofen,Lisinopril,Moderate,"NSAIDs (Ibuprofen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Lisinopril)/ARBs and increase the risk of acute renal impairment."
Ibuprofen,Losartan,Moderate,"NSAIDs (Ibuprofen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Losartan)/ARBs and increase the risk of acute renal impairment."
Enalapril,Ibuprofen,Moderate,"NSAIDs (Ibuprofen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Enalapril)/ARBs and increase the risk of acute renal impairment."
Ibuprofen,Valsartan,Moderate,"NSAIDs (Ibuprofen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Valsartan)/ARBs and increase the risk of acute renal impairment."
Ibuprofen,Ramipril,Moderate,"NSAIDs (Ibuprofen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Ramipril)/ARBs and increase the risk of acute renal impairment."
Lisinopril,Naproxen,Moderate,"NSAIDs (Naproxen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Lisinopril)/ARBs and increase the risk of acute renal impairment."
Losartan,Naproxen,Moderate,"NSAIDs (Naproxen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Losartan)/ARBs and increase the risk of acute renal impairment."
Enalapril,Naproxen,Moderate,"NSAIDs (Naproxen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Enalapril)/ARBs and increase the risk of acute renal impairment."
Naproxen,Valsartan,Moderate,"NSAIDs (Naproxen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Valsartan)/ARBs and increase the risk of acute renal impairment."
Naproxen,Ramipril,Moderate,"NSAIDs (Naproxen) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Ramipril)/ARBs and increase the risk of acute renal impairment."
Aspirin,Lisinopril,Moderate,"NSAIDs (Aspirin) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Lisinopril)/ARBs and increase the risk of acute renal impairment."
Aspirin,Losartan,Moderate,"NSAIDs (Aspirin) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Losartan)/ARBs and increase the risk of acute renal impairment."
Aspirin,Enalapril,Moderate,"NSAIDs (Aspirin) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Enalapril)/ARBs and increase the risk of acute renal impairment."
Aspirin,Valsartan,Moderate,"NSAIDs (Aspirin) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Valsartan)/ARBs and increase the risk of acute renal impairment."
Aspirin,Ramipril,Moderate,"NSAIDs (Aspirin) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Ramipril)/ARBs and increase the risk of acute renal impairment."
Celecoxib,Lisinopril,Moderate,"NSAIDs (Celecoxib) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Lisinopril)/ARBs and increase the risk of acute renal impairment."
Celecoxib,Losartan,Moderate,"NSAIDs (Celecoxib) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Losartan)/ARBs and increase the risk of acute renal impairment."
Celecoxib,Enalapril,Moderate,"NSAIDs (Celecoxib) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Enalapril)/ARBs and increase the risk of acute renal impairment."
Celecoxib,Valsartan,Moderate,"NSAIDs (Celecoxib) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Valsartan)/ARBs and increase the risk of acute renal impairment."
Celecoxib,Ramipril,Moderate,"NSAIDs (Celecoxib) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Ramipril)/ARBs and increase the risk of acute renal impairment."
Diclofenac,Lisinopril,Moderate,"NSAIDs (Diclofenac) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Lisinopril)/ARBs and increase the risk of acute renal impairment."
Diclofenac,Losartan,Moderate,"NSAIDs (Diclofenac) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Losartan)/ARBs and increase the risk of acute renal impairment."
Diclofenac,Enalapril,Moderate,"NSAIDs (Diclofenac) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Enalapril)/ARBs and increase the risk of acute renal impairment."
Diclofenac,Valsartan,Moderate,"NSAIDs (Diclofenac) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Valsartan)/ARBs and increase the risk of acute renal impairment."
Diclofenac,Ramipril,Moderate,"NSAIDs (Diclofenac) inhibit renal prostaglandins, which may decrease the antihypertensive efficacy of ACE inhibitors (Ramipril)/ARBs and increase the risk of acute renal impairment."
Lisinopril,Paracetamol,Moderate,Combining ACE inhibitors (Paracetamol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Levothyroxine,Lisinopril,Moderate,Combining ACE inhibitors (Levothyroxine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Albuterol,Lisinopril,Moderate,Combining ACE inhibitors (Albuterol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Lisinopril,Tramadol,Moderate,Combining ACE inhibitors (Tramadol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Lisinopril,Sertraline,Moderate,Combining ACE inhibitors (Sertraline) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Fluoxetine,Lisinopril,Moderate,Combining ACE inhibitors (Fluoxetine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Alcohol,Lisinopril,Moderate,Combining ACE inhibitors (Alcohol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Grapefruit Juice,Lisinopril,Moderate,Combining ACE inhibitors (Grapefruit Juice) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Lisinopril,Nitroglycerin,Moderate,Combining ACE inhibitors (Nitroglycerin) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Losartan,Paracetamol,Moderate,Combining ACE inhibitors (Paracetamol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Levothyroxine,Losartan,Moderate,Combining ACE inhibitors (Levothyroxine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Albuterol,Losartan,Moderate,Combining ACE inhibitors (Albuterol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Losartan,Tramadol,Moderate,Combining ACE inhibitors (Tramadol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Losartan,Sertraline,Moderate,Combining ACE inhibitors (Sertraline) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Fluoxetine,Losartan,Moderate,Combining ACE inhibitors (Fluoxetine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Losartan,Spironolactone,Moderate,Combining ACE inhibitors (Spironolactone) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Alcohol,Losartan,Moderate,Combining ACE inhibitors (Alcohol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Grapefruit Juice,Losartan,Moderate,Combining ACE inhibitors (Grapefruit Juice) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Losartan,Nitroglycerin,Moderate,Combining ACE inhibitors (Nitroglycerin) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Paracetamol,Moderate,Combining ACE inhibitors (Paracetamol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Levothyroxine,Moderate,Combining ACE inhibitors (Levothyroxine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Albuterol,Enalapril,Moderate,Combining ACE inhibitors (Albuterol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Tramadol,Moderate,Combining ACE inhibitors (Tramadol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Sertraline,Moderate,Combining ACE inhibitors (Sertraline) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Fluoxetine,Moderate,Combining ACE inhibitors (Fluoxetine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Spironolactone,Moderate,Combining ACE inhibitors (Spironolactone) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Alcohol,Enalapril,Moderate,Combining ACE inhibitors (Alcohol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Grapefruit Juice,Moderate,Combining ACE inhibitors (Grapefruit Juice) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Enalapril,Nitroglycerin,Moderate,Combining ACE inhibitors (Nitroglycerin) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Paracetamol,Valsartan,Moderate,Combining ACE inhibitors (Paracetamol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Levothyroxine,Valsartan,Moderate,Combining ACE inhibitors (Levothyroxine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Albuterol,Valsartan,Moderate,Combining ACE inhibitors (Albuterol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Tramadol,Valsartan,Moderate,Combining ACE inhibitors (Tramadol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Sertraline,Valsartan,Moderate,Combining ACE inhibitors (Sertraline) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Fluoxetine,Valsartan,Moderate,Combining ACE inhibitors (Fluoxetine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Spironolactone,Valsartan,Moderate,Combining ACE inhibitors (Spironolactone) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Alcohol,Valsartan,Moderate,Combining ACE inhibitors (Alcohol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Grapefruit Juice,Valsartan,Moderate,Combining ACE inhibitors (Grapefruit Juice) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Nitroglycerin,Valsartan,Moderate,Combining ACE inhibitors (Nitroglycerin) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Paracetamol,Ramipril,Moderate,Combining ACE inhibitors (Paracetamol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Levothyroxine,Ramipril,Moderate,Combining ACE inhibitors (Levothyroxine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Albuterol,Ramipril,Moderate,Combining ACE inhibitors (Albuterol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Ramipril,Tramadol,Moderate,Combining ACE inhibitors (Tramadol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Ramipril,Sertraline,Moderate,Combining ACE inhibitors (Sertraline) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Fluoxetine,Ramipril,Moderate,Combining ACE inhibitors (Fluoxetine) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Ramipril,Spironolactone,Moderate,Combining ACE inhibitors (Spironolactone) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Alcohol,Ramipril,Moderate,Combining ACE inhibitors (Alcohol) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Grapefruit Juice,Ramipril,Moderate,Combining ACE inhibitors (Grapefruit Juice) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Nitroglycerin,Ramipril,Moderate,Combining ACE inhibitors (Nitroglycerin) or ARBs with potassium-sparing diuretics increases the risk of hyperkalemia. Monitor serum potassium levels.
Amlodipine,Atorvastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Atorvastatin)s, elevating the risk of statin (Atorvastatin)-induced myopathy and rhabdomyolysis."
Atorvastatin,Diltiazem,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Atorvastatin)s, elevating the risk of statin (Atorvastatin)-induced myopathy and rhabdomyolysis."
Atorvastatin,Verapamil,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Atorvastatin)s, elevating the risk of statin (Atorvastatin)-induced myopathy and rhabdomyolysis."
Atorvastatin,Nifedipine,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Atorvastatin)s, elevating the risk of statin (Atorvastatin)-induced myopathy and rhabdomyolysis."
Diltiazem,Simvastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Simvastatin)s, elevating the risk of statin (Simvastatin)-induced myopathy and rhabdomyolysis."
Simvastatin,Verapamil,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Simvastatin)s, elevating the risk of statin (Simvastatin)-induced myopathy and rhabdomyolysis."
Nifedipine,Simvastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Simvastatin)s, elevating the risk of statin (Simvastatin)-induced myopathy and rhabdomyolysis."
Amlodipine,Rosuvastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Rosuvastatin)s, elevating the risk of statin (Rosuvastatin)-induced myopathy and rhabdomyolysis."
Diltiazem,Rosuvastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Rosuvastatin)s, elevating the risk of statin (Rosuvastatin)-induced myopathy and rhabdomyolysis."
Rosuvastatin,Verapamil,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Rosuvastatin)s, elevating the risk of statin (Rosuvastatin)-induced myopathy and rhabdomyolysis."
Nifedipine,Rosuvastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Rosuvastatin)s, elevating the risk of statin (Rosuvastatin)-induced myopathy and rhabdomyolysis."
Amlodipine,Pravastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Pravastatin)s, elevating the risk of statin (Pravastatin)-induced myopathy and rhabdomyolysis."
Diltiazem,Pravastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Pravastatin)s, elevating the risk of statin (Pravastatin)-induced myopathy and rhabdomyolysis."
Pravastatin,Verapamil,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Pravastatin)s, elevating the risk of statin (Pravastatin)-induced myopathy and rhabdomyolysis."
Nifedipine,Pravastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Pravastatin)s, elevating the risk of statin (Pravastatin)-induced myopathy and rhabdomyolysis."
Amlodipine,Lovastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Lovastatin)s, elevating the risk of statin (Lovastatin)-induced myopathy and rhabdomyolysis."
Diltiazem,Lovastatin,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Lovastatin)s, elevating the risk of statin (Lovastatin)-induced myopathy and rhabdomyolysis."
Lovastatin,Verapamil,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Lovastatin)s, elevating the risk of statin (Lovastatin)-induced myopathy and rhabdomyolysis."
Lovastatin,Nifedipine,Moderate,"Calcium channel blockers can increase plasma concentrations of statin (Lovastatin)s, elevating the risk of statin (Lovastatin)-induced myopathy and rhabdomyolysis."
Atorvastatin,Azithromycin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Atorvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Atorvastatin,Erythromycin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Atorvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Azithromycin,Simvastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Simvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Erythromycin,Simvastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Simvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Clarithromycin,Simvastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Simvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Azithromycin,Rosuvastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Rosuvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Erythromycin,Rosuvastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Rosuvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Clarithromycin,Rosuvastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Rosuvastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Azithromycin,Pravastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Pravastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Erythromycin,Pravastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Pravastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Clarithromycin,Pravastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Pravastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Azithromycin,Lovastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Lovastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Erythromycin,Lovastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Lovastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Clarithromycin,Lovastatin,High,"Macrolide antibiotics are potent CYP3A4 inhibitors that significantly increase statin (Lovastatin) exposure, leading to major risks of myopathy and rhabdomyolysis."
Metoprolol,Paracetamol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Levothyroxine,Metoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Albuterol,Metoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Metoprolol,Tramadol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Metoprolol,Sertraline,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Fluoxetine,Metoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Metoprolol,Spironolactone,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Alcohol,Metoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Grapefruit Juice,Metoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Metoprolol,Nitroglycerin,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Paracetamol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Levothyroxine,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Albuterol,Atenolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Tramadol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Sertraline,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Fluoxetine,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Spironolactone,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Alcohol,Atenolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Grapefruit Juice,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Atenolol,Nitroglycerin,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Paracetamol,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Levothyroxine,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Albuterol,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Propranolol,Tramadol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
